Symbol,Strength
AVANTIFEED,0
BAJAJELEC,0
BDL,0
BIRLACORPN,0
CANFINHOME,0
CEATLTD,0
CENTURYTEX,0
CHAMBLFERT,0
COCHINSHIP,0
CYIENT,0
DCBBANK,0
DCMSHRIRAM,0
DEEPAKNTR,0
DBL,0
DIXON,0
GMMPFAUDLR,0
GODFRYPHLP,0
GRANULES,0
GRAPHITE,0
IDFC,0
IRCON,0
INDIAMART,0
INDIANB,0
KAJARIACER,0
KEC,0
LAURUSLABS,0
LINDEINDIA,0
MOIL,0
MIDHANI,0
MCX,0
NBCC,0
PNBHOUSING,0
PVR,0
PERSISTENT,0
PGHL,0
RITES,0
RADICO,0
RVNL,0
RALLIS,0
SPICEJET,0
STLTECH,0
STAR,0
SPARC,0
SUNTECK,0
TV18BRDCST,0
TATAELXSI,0
UJJIVANSFB,0
VIPIND,0
VAKRANGEE,0
WOCKPHARMA,0
